# Track Drum Data (AI Generated Variation)
# Format: DRUM_CLASS,TIMESTAMP,VELOCITY,DELTA_TIME
# Classes: 0=kick, 1=snare, 2=hat
# DELTA_TIME: Duration until next hit (for last hit: time until loop end)
# Total loop duration: 3.181134 seconds
0,0.000000,0.900000,0.100000
0,0.100000,0.700000,0.100962
2,0.200962,0.600000,0.092041
2,0.293003,0.800000,0.092042
2,0.385045,0.750000,0.211160
0,0.596205,0.950000,0.100000
0,0.696205,0.650000,0.093909
2,0.790114,0.600000,0.103078
2,0.893192,0.550000,0.103079
1,0.996271,0.980000,0.186577
2,1.182848,0.700000,0.104230
2,1.287078,0.820000,0.104231
0,1.391309,0.850000,0.193611
2,1.584920,0.780000,0.102047
2,1.686967,0.680000,0.102048
0,1.789015,1.000000,0.107138
0,1.896153,0.720000,0.107139
2,2.003292,0.720000,0.183454
0,2.186746,0.850000,0.180142
2,2.366888,0.710000,0.109865
2,2.476753,0.820000,0.109865
1,2.586618,0.950000,0.194658
2,2.781276,0.680000,0.103246
2,2.884522,0.750000,0.103246
1,2.987768,0.850000,0.096683
1,3.084451,0.650000,0.096683
